ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
2,Chikkodi-Sadalga,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,8,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,145,2,147,0.08,Karnataka,S10,Chikkodi-Sadalga,2,12.0,183835,,,0.07996301030815678,(>20),>20000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,2,LAXMAN. SANGAPPA. SAVADI,Indian National Congress,130478,926,131404,68.34,Karnataka,S10,Athani,3,1.0,192279,76122.0,39.58934673053219,68.34027636923429,(>20),>20000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,1,MAHESH. IRANGOUDA. KUMATHALLI.,Bharatiya Janata Party,54805,477,55282,28.75,Karnataka,S10,Athani,3,2.0,192279,54017.0,28.093031480296858,28.750929638702093,(>20),>20000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,3,SHASHIKANT PADASALAGI,Janata Dal  (Secular),1262,3,1265,0.66,Karnataka,S10,Athani,3,3.0,192279,212.0,0.11025645026237914,0.657898158405234,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,13,RAJESH. BABU. SHINGE,Independent,1052,1,1053,0.55,Karnataka,S10,Athani,3,4.0,192279,16.0,0.008321241529236162,0.5476417081428548,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,14,NOTA,None of the Above,1029,8,1037,0.54,Karnataka,S10,Athani,3,5.0,192279,102.0,0.05304791474888053,0.5393204666136188,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,5,BASAVARAJ. BHIMAPPA. BISANAKOPPA,Kalyana Rajya Pragathi Paksha,927,8,935,0.49,Karnataka,S10,Athani,3,6.0,192279,643.0,0.33440989395617826,0.4862725518647382,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,4,SAMPATHKUMAR.SHETTI,Aam Aadmi Party,286,6,292,0.15,Karnataka,S10,Athani,3,7.0,192279,42.0,0.021843259014244925,0.15186265790855996,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,12,DAVARI RAJU.  PARASHURAM,Independent,250,0,250,0.13,Karnataka,S10,Athani,3,8.0,192279,26.0,0.013522017485008763,0.13001939889431502,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,6,BHARATESH BUJABALI KUDARI,Uttama Prajaakeeya Party,220,4,224,0.12,Karnataka,S10,Athani,3,9.0,192279,67.0,0.034845198903676426,0.11649738140930627,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,9,JYOTIBA BAVUSAB JADHAV,Independent,155,2,157,0.08,Karnataka,S10,Athani,3,10.0,192279,47.0,0.024443646992131227,0.08165218250562985,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,11,RAVI SHIVAPPA PADASALAGI,Independent,110,0,110,0.06,Karnataka,S10,Athani,3,11.0,192279,6.0,0.0031204655734635607,0.057208535513498616,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,10,PAIGAMBAR GUDUSAB KOTTALAGI,Independent,104,0,104,0.05,Karnataka,S10,Athani,3,12.0,192279,14.0,0.007281086338081642,0.05408806994003505,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,8,SANJEEV HARISHCHANDRA KAMBLE,Azad Mazdoor Kissan Party,87,3,90,0.05,Karnataka,S10,Athani,3,13.0,192279,14.0,0.007281086338081642,0.046806983601953414,(0-5),Less than 1000
3,Athani,Maharashtra - Karnataka,Lingayat,Rural,Belgaum ,7,SAGAR KUMBAR,Karnataka Rashtra Samithi,75,1,76,0.04,Karnataka,S10,Athani,3,14.0,192279,,,0.03952589726387177,(>20),>20000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,1,BHARAMGOUDA ALAGOUDA KAGE,Indian National Congress,82838,549,83387,51.45,Karnataka,S10,Kagwad,4,1.0,162078,8827.0,5.446143214995249,51.448685200952625,(5-10),Between 5000 & 10000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,4,SHRIMANT  BALASAHEB  PATIL,Bharatiya Janata Party,73948,612,74560,46.0,Karnataka,S10,Kagwad,4,2.0,162078,73575.0,45.39480990634139,46.00254198595738,(>20),>20000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,12,NOTA,None of the Above,981,4,985,0.61,Karnataka,S10,Kagwad,4,3.0,162078,98.0,0.060464714520169306,0.6077320796159874,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,2,MALLIKARJUN  SHRISHAIL  GUNJIGANVI,Janata Dal  (Secular),882,5,887,0.55,Karnataka,S10,Kagwad,4,4.0,162078,255.0,0.15733165512901195,0.5472673650958181,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,5,SANJAY  SHANKAR  KAMBALE,Bahujan Samaj Party,629,3,632,0.39,Karnataka,S10,Kagwad,4,5.0,162078,282.0,0.17399030096620147,0.3899357099668061,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,9,CHIDANAND  KRISHNA  CHAVAN,Independent,348,2,350,0.22,Karnataka,S10,Kagwad,4,6.0,162078,20.0,0.012339737657177408,0.21594540900060463,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,3,RAJAK  DASTAGEERSAHEB   MULLA,Aam Aadmi Party,329,1,330,0.2,Karnataka,S10,Kagwad,4,7.0,162078,55.0,0.03393427855723787,0.20360567134342722,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,8,HANAMANT  BAHUSAB  PATIL,Uttama Prajaakeeya Party,273,2,275,0.17,Karnataka,S10,Kagwad,4,8.0,162078,16.0,0.009871790125741926,0.16967139278618937,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,10,SATTEPPA DASHARATH  KALELI,Independent,255,4,259,0.16,Karnataka,S10,Kagwad,4,9.0,162078,31.0,0.019126593368624982,0.15979960266044743,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,11,SADANAND B MAGADUM,Independent,227,1,228,0.14,Karnataka,S10,Kagwad,4,10.0,162078,115.0,0.07095349152877009,0.14067300929182244,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,6,VINOD SUKHADEV NANGARE,Karnataka Rashtra Samithi,110,3,113,0.07,Karnataka,S10,Kagwad,4,11.0,162078,41.0,0.02529646219721369,0.06971951776305235,(0-5),Less than 1000
4,Kagwad,Maharashtra - Karnataka,Maratha,Rural,Belgaum ,7,SATISH  BHUPAL  SANADI,Rashtriya Samaj Paksha,69,3,72,0.04,Karnataka,S10,Kagwad,4,12.0,162078,,,0.04442305556583867,(>20),>20000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,3,MAHENDRA. KALLAPPA. TAMMANNAVAR,Indian National Congress,84686,635,85321,56.87,Karnataka,S10,Kudachi,5,1.0,150040,25243.0,16.82418021860837,56.86550253265796,(10-20),>20000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,4,P. RAJEEV,Bharatiya Janata Party,59612,466,60078,40.04,Karnataka,S10,Kudachi,5,2.0,150040,58512.0,38.99760063982938,40.04132231404959,(>20),>20000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,1,ANAND. V. MALAGI,Janata Dal  (Secular),1555,11,1566,1.04,Karnataka,S10,Kudachi,5,3.0,150040,326.0,0.21727539322847242,1.043721674220208,(0-5),Less than 1000
5,Kudachi,Maharashtra - Karnataka,SC,Rural,Belgaum ,6,SHREESHAIL. H. BHAJANTRI,Kalyana Rajya Pragathi Paksha,1236,4,1240,0.83,Karnataka,S10,Kudachi,5,4.0,150040,597.0,0.3978938949613436,0.8264462809917356,(0-5),Less than 1000
