ac_no,ac_name_x,regions,caste,locality,district,s_no,candidate_name,party,evm_votes,postal_votes,votes,vote_share,st_name,st_no,ac_name_y,constituency_code,position,total_votes,margin,margin_percent,vote_share_percent,margin_buckets_percent,margin_buckets_votes
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,2,GAUTHAM MARILINGEGOWDA,Bharatiya Janata Party,12821,91,12912,7.07,Karnataka,S10,Ramanagaram,183,3,182750,11648,6.37373461,7.065389877,(5-10),Between 10000 & 20000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,4,BYREGOWDA. S,Aam Aadmi Party,1261,3,1264,0.69,Karnataka,S10,Ramanagaram,183,4,182750,384,0.210123119,0.691655267,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,15,NOTA,None of the Above,879,1,880,0.48,Karnataka,S10,Ramanagaram,183,5,182750,20,0.010943912,0.481532148,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,6,D. PUTTAMADAIAH (PRAJAKEEYA PUTTANNA),Uttama Prajaakeeya Party,857,3,860,0.47,Karnataka,S10,Ramanagaram,183,6,182750,129,0.070588235,0.470588235,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,13,KA.RA.VE. MADEGOWDA.DM,Independent,731,0,731,0.4,Karnataka,S10,Ramanagaram,183,7,182750,385,0.210670315,0.4,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,5,V. SWAMY,Bahujan Samaj Party,342,4,346,0.19,Karnataka,S10,Ramanagaram,183,8,182750,112,0.06128591,0.189329685,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,9,RAGHU NANDAN. R. V.,Republican Party of India (Athawale),230,4,234,0.13,Karnataka,S10,Ramanagaram,183,9,182750,0,0,0.128043776,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,11,K.R.S.SHIVAKUMAR.S,Karnataka Rashtra Samithi,227,7,234,0.13,Karnataka,S10,Ramanagaram,183,10,182750,51,0.027906977,0.128043776,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,14,SURENDRA RAMANAGARA,Independent,183,0,183,0.1,Karnataka,S10,Ramanagaram,183,11,182750,2,0.001094391,0.100136799,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,12,SIDDAMARAIAH. S,All India Forward Bloc,180,1,181,0.1,Karnataka,S10,Ramanagaram,183,12,182750,85,0.046511628,0.099042408,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,10,LOKESH. N,Indian Movement Party,96,0,96,0.05,Karnataka,S10,Ramanagaram,183,13,182750,10,0.005471956,0.05253078,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,8,MAHABOOB PASHA,Tipu Sultan Party,86,0,86,0.05,Karnataka,S10,Ramanagaram,183,14,182750,8,0.004377565,0.047058824,(0-5),Less than 1000
183,Ramanagaram,Old Mysor,Vokkaliga,Semi Urban,Ramanagaram ,7,FAYAZ AHMED,Young Star Empowerment Party,78,0,78,0.04,Karnataka,S10,Ramanagaram,183,15,182750,,,0.042681259,(>20),>20000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,5,D K SHIVAKUMAR,Indian National Congress,142156,867,143023,75.03,Karnataka,S10,Kanakapura,184,1,190623,122392,64.20631298,75.02924621,(>20),>20000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,3,B NAGARAJU,Janata Dal (Secular),20561,70,20631,10.82,Karnataka,S10,Kanakapura,184,2,190623,878,0.460594996,10.82293322,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,1,R ASHOKA,Bharatiya Janata Party,19602,151,19753,10.36,Karnataka,S10,Kanakapura,184,3,190623,18495,9.702396878,10.36233823,(5-10),Between 10000 & 20000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,8,MANMOHAN RAJ K N,Uttama Prajaakeeya Party,1255,3,1258,0.66,Karnataka,S10,Kanakapura,184,4,190623,114,0.059803906,0.65994135,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,4,E PUTTARAJU,Aam Aadmi Party,1142,2,1144,0.6,Karnataka,S10,Kanakapura,184,5,190623,61,0.032000336,0.600137444,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,2,KRISHNA N M,Bahujan Samaj Party,1077,6,1083,0.57,Karnataka,S10,Kanakapura,184,6,190623,321,0.168395209,0.568137108,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,16,NOTA,None of the Above,758,4,762,0.4,Karnataka,S10,Kanakapura,184,7,190623,158,0.082886116,0.399741899,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,6,KEMPEGOWDA,Navabharath Sena,603,1,604,0.32,Karnataka,S10,Kanakapura,184,8,190623,92,0.048262801,0.316855783,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,12,SHIVARENUKA,Independent,512,0,512,0.27,Karnataka,S10,Kanakapura,184,9,190623,115,0.060328502,0.268592982,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,7,KRS PRASHANTH HOSADURGA,Karnataka Rashtra Samithi,396,1,397,0.21,Karnataka,S10,Kanakapura,184,10,190623,87,0.045639823,0.20826448,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,13,NALLAHALLI SRINIVAS,Independent,307,3,310,0.16,Karnataka,S10,Kanakapura,184,11,190623,14,0.007344339,0.162624657,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,9,SHRIDHARA K R,Republican Party of India (Athawale),293,3,296,0.16,Karnataka,S10,Kanakapura,184,12,190623,8,0.004196765,0.155280318,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,11,MALLIKARJUNAIAH,Independent,286,2,288,0.15,Karnataka,S10,Kanakapura,184,13,190623,52,0.027278975,0.151083552,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,14,SHADAKSHARI A N,Independent,236,0,236,0.12,Karnataka,S10,Kanakapura,184,14,190623,57,0.029901953,0.123804578,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,15,SUNIL KUMAR,Independent,179,0,179,0.09,Karnataka,S10,Kanakapura,184,15,190623,32,0.016787061,0.093902625,(0-5),Less than 1000
184,Kanakapura,Old Mysor,Vokkaliga,Rural,Ramanagaram ,10,NAGARAJU S J,Independent,146,1,147,0.08,Karnataka,S10,Kanakapura,184,16,190623,,,0.077115563,(>20),>20000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,1,H.D. KUMARASWAMY,Janata Dal (Secular),95892,700,96592,48.83,Karnataka,S10,Channapatna,185,1,197796,15915,8.04616878,48.83415236,(5-10),Between 10000 & 20000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,4,C.P. YOGESHWARA,Bharatiya Janata Party,79918,759,80677,40.79,Karnataka,S10,Channapatna,185,2,197796,65303,33.01532892,40.78798358,(>20),>20000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,2,GANGADHAR.S,Indian National Congress,15344,30,15374,7.77,Karnataka,S10,Channapatna,185,3,197796,14264,7.211470404,7.772654654,(5-10),Between 10000 & 20000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,16,NOTA,None of the Above,1109,1,1110,0.56,Karnataka,S10,Channapatna,185,4,197796,168,0.084935995,0.56118425,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,3,G.CHANDRASHEKARAIAH,Bahujan Samaj Party,934,8,942,0.48,Karnataka,S10,Channapatna,185,5,197796,118,0.059657425,0.476248256,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,5,C.P.SHARATH CHANDRA,Aam Aadmi Party,823,1,824,0.42,Karnataka,S10,Channapatna,185,6,197796,146,0.073813424,0.416590831,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,6,PRAJAAKEEYA ABHISHEK.S,Uttama Prajaakeeya Party,677,1,678,0.34,Karnataka,S10,Channapatna,185,7,197796,179,0.09049728,0.342777407,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,13,KRISHNA.A,Independent,499,0,499,0.25,Karnataka,S10,Channapatna,185,8,197796,262,0.132459706,0.252280127,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,11,ANDANAIAH,Independent,237,0,237,0.12,Karnataka,S10,Channapatna,185,9,197796,5,0.002527857,0.119820421,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,12,KUMARA SWAMY A. C,Independent,230,2,232,0.12,Karnataka,S10,Channapatna,185,10,197796,28,0.014155999,0.117292564,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,15,SHIVARAMASHETTY. D,Independent,204,0,204,0.1,Karnataka,S10,Channapatna,185,11,197796,76,0.038423426,0.103136565,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,14,PRADEEP. T. V,Independent,128,0,128,0.06,Karnataka,S10,Channapatna,185,12,197796,14,0.007078,0.064713139,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,9,SHYAMALA,Karnataka Rashtra Samithi,111,3,114,0.06,Karnataka,S10,Channapatna,185,13,197796,36,0.01820057,0.057635139,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,10,SYED JAVEED,Indian Movement Party,78,0,78,0.04,Karnataka,S10,Channapatna,185,14,197796,18,0.009100285,0.039434569,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,8,C.M.SHABAZ KHAN,Young Star Empowerment Party,60,0,60,0.03,Karnataka,S10,Channapatna,185,15,197796,13,0.006572428,0.030334284,(0-5),Less than 1000
185,Channapatna,Old Mysor,Vokkaliga,Rural,Ramanagaram ,7,GIRISH.L,Samajwadi Party,47,0,47,0.02,Karnataka,S10,Channapatna,185,16,197796,,,0.023761856,(>20),>20000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,3,P.M.Narendraswamy,Indian National Congress,105413,1085,106498,53.79,Karnataka,S10,Malavalli,186,1,197983,46846,23.66162751,53.79148715,(>20),>20000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,1,Dr|| K. Annadani,Janata Dal (Secular),59078,574,59652,30.13,Karnataka,S10,Malavalli,186,2,197983,34536,17.44392195,30.12985963,(10-20),>20000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,5,G. Muniraju,Bharatiya Janata Party,24910,206,25116,12.69,Karnataka,S10,Malavalli,186,3,197983,22839,11.53583894,12.68593768,(10-20),>20000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,2,M. Krishnamurthy,Bahujan Samaj Party,2249,28,2277,1.15,Karnataka,S10,Malavalli,186,4,197983,1021,0.515700843,1.150098746,(0-5),Between 1000 & 5000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,15,NOTA,None of the Above,1250,6,1256,0.63,Karnataka,S10,Malavalli,186,5,197983,276,0.139405909,0.634397903,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,4,Prof|| B.C.Mahadevaswamy,Aam Aadmi Party,973,7,980,0.49,Karnataka,S10,Malavalli,186,6,197983,590,0.298005384,0.494991994,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,13,Sathishkumar T. N.,Independent,390,0,390,0.2,Karnataka,S10,Malavalli,186,7,197983,57,0.028790351,0.19698661,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,9,Uma. J.,Independent,329,4,333,0.17,Karnataka,S10,Malavalli,186,8,197983,19,0.009596784,0.168196259,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,14,H.B. Sudha,Independent,311,3,314,0.16,Karnataka,S10,Malavalli,186,9,197983,53,0.026769975,0.158599476,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,7,Nandeesh Kumar M.,Karnataka Rashtra Samithi,257,4,261,0.13,Karnataka,S10,Malavalli,186,10,197983,1,0.000505094,0.131829501,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,12,Mantyalingu,Independent,255,5,260,0.13,Karnataka,S10,Malavalli,186,11,197983,46,0.023234318,0.131324407,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,6,Nagaraja Murthy. C.M,Bharathiya Belaku Party,214,0,214,0.11,Karnataka,S10,Malavalli,186,12,197983,65,0.032831102,0.108090089,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,10,Madhaw Ciran. M.S,Independent,145,4,149,0.08,Karnataka,S10,Malavalli,186,13,197983,7,0.003535657,0.075258987,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,8,Annadani C.,Independent,140,2,142,0.07,Karnataka,S10,Malavalli,186,14,197983,1,0.000505094,0.07172333,(0-5),Less than 1000
186,Malavalli,Old Mysor,SC,Rural,Mandya ,11,Mohan Kumar.M.L,Independent,139,2,141,0.07,Karnataka,S10,Malavalli,186,15,197983,,,0.071218236,(>20),>20000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,2,UDAYA.K.M,Indian National Congress,86325,694,87019,47.45,Karnataka,S10,Maddur,187,1,183390,24113,13.14848138,47.45024265,(10-20),>20000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,3,D.C.THAMMANNA,Janata Dal (Secular),62227,679,62906,34.3,Karnataka,S10,Maddur,187,2,183390,33910,18.49064835,34.30176127,(10-20),>20000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,5,S.P.SWAMY,Bharatiya Janata Party,28650,346,28996,15.81,Karnataka,S10,Maddur,187,3,183390,27808,15.16331316,15.81111293,(10-20),>20000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,1,ANANDA,Aam Aadmi Party,1185,3,1188,0.65,Karnataka,S10,Maddur,187,4,183390,435,0.237199411,0.647799771,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,11,NOTA,None of the Above,736,17,753,0.41,Karnataka,S10,Maddur,187,5,183390,82,0.044713452,0.41060036,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,4,SOMANAHALLI SHIVAKUMAR,Bahujan Samaj Party,660,11,671,0.37,Karnataka,S10,Maddur,187,6,183390,18,0.009815148,0.365886908,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,8,KADALURU PRAJWALGOWDA K.S,Independent,653,0,653,0.36,Karnataka,S10,Maddur,187,7,183390,234,0.127596925,0.35607176,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,10,GUDIGERE MANJUNATH,Independent,417,2,419,0.23,Karnataka,S10,Maddur,187,8,183390,38,0.020720868,0.228474835,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,6,K.J.MAHESHA KOOLAGERE,Karnataka Rashtra Samithi,379,2,381,0.21,Karnataka,S10,Maddur,187,9,183390,121,0.065979606,0.207753967,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,9,HALLIKERE MANOHARA,Independent,259,1,260,0.14,Karnataka,S10,Maddur,187,10,183390,116,0.063253176,0.141774361,(0-5),Less than 1000
187,Maddur,Old Mysor,Vokkaliga,Rural,Mandya ,7,CHIKKANANJACHARI,Independent,143,1,144,0.08,Karnataka,S10,Maddur,187,11,183390,,,0.078521184,(>20),>20000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,5,DHARSHAN PUTTANNAIAH,Sarvodaya Karnataka Paksha,90387,764,91151,49.57,Karnataka,S10,Melukote,188,1,183883,10862,5.907016962,49.57010708,(5-10),Between 10000 & 20000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,3,C. S. PUTTARAJU,Janata Dal (Secular),79424,865,80289,43.66,Karnataka,S10,Melukote,188,2,183883,73819,40.14454844,43.66309012,(>20),>20000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,2,DR.INDRESH N.S.,Bharatiya Janata Party,6378,92,6470,3.52,Karnataka,S10,Melukote,188,3,183883,5091,2.7686083,3.518541681,(0-5),Between 5000 & 10000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,6,MAHENDRA KUMAR K.R.,Karnataka Rashtra Samithi,1372,7,1379,0.75,Karnataka,S10,Melukote,188,4,183883,222,0.120728942,0.749933382,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,4,YOGANANDAGOWDA,Bahujan Samaj Party,1153,4,1157,0.63,Karnataka,S10,Melukote,188,5,183883,348,0.189250774,0.62920444,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,1,ASHOKA,Aam Aadmi Party,808,1,809,0.44,Karnataka,S10,Melukote,188,6,183883,140,0.076135369,0.439953666,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,8,KRISHNA.E.N.,Independent,669,0,669,0.36,Karnataka,S10,Melukote,188,7,183883,103,0.056013878,0.363818298,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,7,AARYA LOKESH,Uttama Prajaakeeya Party,564,2,566,0.31,Karnataka,S10,Melukote,188,8,183883,86,0.046768869,0.307804419,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,12,NOTA,None of the Above,475,5,480,0.26,Karnataka,S10,Melukote,188,9,183883,78,0.042418277,0.26103555,(0-5),Less than 1000
188,Melukote,Old Mysor,Vokkaliga,Rural,Mandya ,10,H.NARAYANA,Independent,402,0,402,0.22,Karnataka,S10,Melukote,188,10,183883,104,0.056557702,0.218617273,(0-5),Less than 1000
